                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.67045,                 0.6519,                      1,                0.66055,              0.0002312,              0.0002312,              0.0002312
                      2,                0.60636,                0.74051,                      1,                0.59951,             0.00046688,             0.00046688,             0.00046688
                      3,                0.51746,                0.76582,                      1,                0.55527,              0.0007002,              0.0007002,              0.0007002
                      4,                0.44322,                0.77215,                      1,                0.51826,              0.0007034,              0.0007034,              0.0007034
                      5,                0.36376,                0.75949,                      1,                0.52954,              0.0007034,              0.0007034,              0.0007034
                      6,                0.33562,                0.81013,                      1,                0.47896,             0.00069986,             0.00069986,             0.00069986
                      7,                0.33161,                0.85443,                      1,                0.47065,             0.00069633,             0.00069633,             0.00069633
                      8,                0.26151,                0.86076,                      1,                0.47158,             0.00069279,             0.00069279,             0.00069279
                      9,                0.27534,                0.83544,                      1,                0.47388,             0.00068926,             0.00068926,             0.00068926
                     10,                0.23127,                0.87342,                      1,                0.44272,             0.00068573,             0.00068573,             0.00068573
                     11,                0.21468,                 0.8481,                      1,                 0.4501,             0.00068219,             0.00068219,             0.00068219
                     12,                0.21434,                0.82911,                      1,                0.47974,             0.00067866,             0.00067866,             0.00067866
                     13,                0.19114,                0.84177,                      1,                0.46367,             0.00067512,             0.00067512,             0.00067512
                     14,                 0.1984,                 0.8481,                      1,                0.44985,             0.00067159,             0.00067159,             0.00067159
                     15,                0.16015,                 0.8481,                      1,                0.46558,             0.00066805,             0.00066805,             0.00066805
                     16,                0.15387,                0.86076,                      1,                0.43608,             0.00066452,             0.00066452,             0.00066452
                     17,                0.19761,                 0.8481,                      1,                0.45034,             0.00066099,             0.00066099,             0.00066099
                     18,                0.16297,                0.83544,                      1,                0.46484,             0.00065745,             0.00065745,             0.00065745
                     19,                0.10716,                0.84177,                      1,                0.46914,             0.00065392,             0.00065392,             0.00065392
                     20,                0.13926,                 0.8481,                      1,                0.45381,             0.00065038,             0.00065038,             0.00065038
                     21,                0.14793,                0.85443,                      1,                0.45234,             0.00064685,             0.00064685,             0.00064685
                     22,                 0.0954,                0.81646,                      1,                 0.4939,             0.00064331,             0.00064331,             0.00064331
                     23,                0.11107,                0.89873,                      1,                0.43354,             0.00063978,             0.00063978,             0.00063978
                     24,                 0.1233,                0.82911,                      1,                0.47729,             0.00063625,             0.00063625,             0.00063625
                     25,                0.09535,                0.81013,                      1,                0.49258,             0.00063271,             0.00063271,             0.00063271
                     26,                0.13243,                0.85443,                      1,                0.46323,             0.00062918,             0.00062918,             0.00062918
                     27,                0.07341,                 0.8481,                      1,                 0.4665,             0.00062564,             0.00062564,             0.00062564
                     28,                0.12916,                0.81013,                      1,                0.49092,             0.00062211,             0.00062211,             0.00062211
                     29,                0.08894,                0.81013,                      1,                0.48789,             0.00061857,             0.00061857,             0.00061857
                     30,                0.09946,                0.82911,                      1,                0.47056,             0.00061504,             0.00061504,             0.00061504
                     31,                 0.1037,                 0.8481,                      1,                0.45732,             0.00061151,             0.00061151,             0.00061151
                     32,                0.12131,                 0.8481,                      1,                0.45698,             0.00060797,             0.00060797,             0.00060797
                     33,                0.11306,                0.84177,                      1,                0.46343,             0.00060444,             0.00060444,             0.00060444
                     34,                0.09201,                0.82911,                      1,                0.47627,              0.0006009,              0.0006009,              0.0006009
                     35,                0.10178,                 0.8481,                      1,                0.45024,             0.00059737,             0.00059737,             0.00059737
                     36,                0.08413,                 0.8481,                      1,                0.45571,             0.00059383,             0.00059383,             0.00059383
                     37,                0.10443,                0.87975,                      1,                0.44771,              0.0005903,              0.0005903,              0.0005903
                     38,                0.06378,                0.84177,                      1,                0.45376,             0.00058677,             0.00058677,             0.00058677
                     39,                0.07688,                0.85443,                      1,                 0.4438,             0.00058323,             0.00058323,             0.00058323
                     40,                0.06026,                0.85443,                      1,                 0.4603,              0.0005797,              0.0005797,              0.0005797
                     41,                0.08148,                 0.8481,                      1,                0.44888,             0.00057616,             0.00057616,             0.00057616
                     42,                0.09424,                0.85443,                      1,                0.44341,             0.00057263,             0.00057263,             0.00057263
                     43,                0.08595,                0.85443,                      1,                0.45845,             0.00056909,             0.00056909,             0.00056909
                     44,                0.11031,                0.85443,                      1,                0.45557,             0.00056556,             0.00056556,             0.00056556
                     45,                0.05952,                 0.8481,                      1,                0.47246,             0.00056203,             0.00056203,             0.00056203
                     46,                0.06744,                0.84177,                      1,                0.47139,             0.00055849,             0.00055849,             0.00055849
                     47,                0.07168,                0.84177,                      1,                0.45278,             0.00055496,             0.00055496,             0.00055496
                     48,                0.06906,                0.86709,                      1,                0.44424,             0.00055142,             0.00055142,             0.00055142
                     49,                0.07247,                0.87342,                      1,                0.44604,             0.00054789,             0.00054789,             0.00054789
                     50,                0.05225,                0.87342,                      1,                0.44155,             0.00054435,             0.00054435,             0.00054435
                     51,                0.06308,                0.83544,                      1,                0.45332,             0.00054082,             0.00054082,             0.00054082
                     52,                0.05185,                0.84177,                      1,                0.46865,             0.00053728,             0.00053728,             0.00053728
